,"NEIGHBORHOOD
","BUILDING CLASS CATEGORY
","BUILDING CLASS AT PRESENT
","LAND SQUARE FEET
","BLOCK
","LOT
","RESIDENTIAL UNITS
","COMMERCIAL UNITS
","TOTAL UNITS
","LAND SQUARE FEET
","GROSS SQUARE FEET
","YEAR BUILT
",Predicted Values,Original Values
508,2,10,12,0,790,66,0,0,0,0,0,1910,1078442.5906673088,560000
19484,36,10,10,0,1197,29,0,0,0,0,0,1929,-77409.06492465781,470000
9125,25,10,16,0,1350,1,0,0,0,0,0,1968,-150501.72926063836,2650000
449,2,10,10,0,771,20,0,0,0,0,0,1920,1159010.9263361902,1100000
5967,13,16,13,0,1902,1501,0,0,0,0,0,0,3032822.771339238,1100000
21569,33,10,12,0,1576,1,0,0,0,0,0,1960,-164533.27378740115,940000
7314,23,13,11,0,1310,1524,1,0,1,0,0,1956,1989937.508891134,975000
15290,28,10,11,0,909,15,0,0,0,0,0,1962,114120.92123497417,370000
15873,29,10,16,0,519,14,0,0,0,0,0,1959,-258148.85005344683,750000
16577,35,17,17,0,1158,1007,0,0,0,0,0,1963,195301.60662500095,495000
24566,36,7,72,3450,1216,6,15,0,15,3450,11880,1900,560382.621317415,6750000
18635,32,10,12,0,1402,33,0,0,0,0,0,1960,-88637.52106497576,1095000
11760,26,45,102,0,1006,1302,0,0,1,0,0,1963,-2388562.0209929883,22998
19300,35,47,25,0,1171,2016,0,0,1,0,0,0,4464227.5327540655,30000
4460,12,13,11,0,607,1395,1,0,1,0,0,2013,2224021.7616780293,40039069
16633,33,10,10,0,1519,46,0,0,0,0,0,1941,36585.726927075535,465000
13948,26,45,71,0,1027,1186,0,0,1,0,0,0,790205.1283617136,0
4164,12,9,6,0,527,84,0,0,0,0,0,1920,1201319.8661931362,405000
19321,33,9,9,0,1533,41,0,0,0,0,0,1930,157954.47716598632,350000
13383,26,45,79,0,1006,1302,0,0,1,0,0,1963,-802390.1209344282,0
6631,15,7,28,1799,2057,146,6,0,6,1799,5300,1926,1724654.621317415,0
5943,13,15,13,0,1902,1503,0,0,0,0,0,0,3086832.7700576666,0
6490,14,13,16,0,1630,1206,1,0,1,0,0,2006,1576797.7275654492,480000
5634,13,7,4,3747,2006,27,18,0,18,3747,10395,1910,6245656.621317415,0
9105,25,13,15,0,1343,1548,1,0,1,0,0,2014,1633298.093876679,3565875
24845,36,10,12,0,1210,37,0,0,0,0,0,1901,-189885.81915409397,565000
13007,28,13,15,0,884,1116,1,0,1,0,0,0,2250155.935878949,2530000
10426,26,13,18,0,1032,1050,1,0,1,0,0,2004,841978.0668948605,785000
24605,38,44,55,0,2132,1038,0,0,1,0,0,0,1320811.034022423,0
11885,32,10,8,0,1391,29,0,0,0,0,0,1920,206824.6401607613,815000
4820,12,10,10,0,642,42,0,0,0,0,0,1920,824025.8135814364,733000
21662,36,13,18,0,1151,1254,1,0,1,0,0,0,1903102.8896574317,990000
12062,26,26,43,7532,1009,37,0,2,2,7532,112850,2007,20414151.621317416,0
16365,35,13,11,0,1171,4334,1,0,1,0,0,2008,4690291.633200776,0
22409,33,32,125,2517,1549,14,28,0,28,2517,8465,1920,-2967233.378682585,0
2059,6,14,36,2485,467,21,6,1,7,2485,8963,1910,1826572.621317415,2750000
15704,26,45,71,0,1027,1345,0,0,1,0,0,0,969203.4848423,0
19577,36,10,10,0,1210,19,0,0,0,0,0,1926,-87146.7927292483,755000
4868,12,13,15,0,602,1124,1,0,1,0,0,2002,1649751.7490153727,3450000
23723,36,13,13,0,1236,1137,1,0,1,0,0,0,2114435.372296048,0
10046,26,10,12,0,1009,29,0,0,0,0,0,1962,131321.61261391127,825000
5403,12,26,43,571,625,54,0,1,1,571,1624,1841,-1849144.378682585,5500000
10212,27,13,11,0,886,1132,1,0,1,0,0,1985,1395181.7473567869,2800000
19443,32,13,16,0,1375,1249,1,0,1,0,0,1941,1016932.4012958468,0
21253,33,10,12,0,1533,122,0,0,0,0,0,1962,-28612.114882082213,585000
2792,9,10,11,0,816,31,0,0,0,0,0,1964,821515.770565785,995000
13225,29,9,9,0,517,9,0,0,0,0,0,1900,305993.375080395,650000
23052,36,10,11,0,1197,50,0,0,0,0,0,1924,-119746.76821401762,1367500
15167,32,10,10,0,1452,19,0,0,0,0,0,1920,56367.418146899436,599000
9668,25,15,15,0,1362,1004,1,0,1,0,0,0,2119321.1175041315,560000
3131,9,13,13,0,857,1122,1,0,1,0,0,0,3084039.326762712,2500000
11289,26,25,57,7532,1009,37,0,2,2,7532,112850,2007,19496647.621317416,42400
4656,12,9,9,0,633,6,0,0,0,0,0,1900,916347.9208252705,835000
15463,28,13,13,0,866,1005,1,0,1,0,0,1952,1098153.9989874926,1195000
10718,26,13,13,0,1269,1268,1,0,1,0,0,1982,1440411.1923695202,0
12064,32,10,8,0,1408,1,0,0,0,0,0,1940,163008.57222992368,1100000
11856,26,45,102,0,1006,1302,0,0,1,0,0,1963,-2388562.0209929883,83305
13689,26,45,97,0,1006,1303,0,0,1,0,0,1963,-2042616.2668924662,86440
15642,28,13,18,0,915,1389,1,0,1,0,0,0,2349954.591541667,1120000
11198,31,13,11,0,16,8034,1,0,1,0,0,1990,9035459.206835244,549000
518,2,10,8,0,796,7,0,0,0,0,0,1938,1271036.7366353162,2600000
1696,5,13,11,0,1076,1081,1,0,1,0,0,2008,2117446.127684003,865000
19125,32,41,70,2000,1447,41,0,0,0,2000,0,0,-4530377.378682585,101825
13314,26,45,71,0,1006,1302,0,0,1,0,0,0,921232.8443033337,17155
15612,26,45,71,0,1027,1337,0,0,1,0,0,0,960197.2782269246,30420
18797,32,10,12,0,1412,71,0,0,0,0,0,1912,-17410.477746074088,0
24090,39,13,18,0,2134,1279,1,0,1,0,0,0,1802025.509947238,453765
24194,35,17,21,0,1158,1107,0,0,0,0,0,1965,30829.20669831382,765000
9420,25,10,12,0,1370,15,0,0,0,0,0,1975,136519.23872688506,1630000
16019,29,13,13,0,594,1396,1,0,1,0,0,2003,1477310.7604973135,3425000
9207,25,10,12,0,1363,37,0,0,0,0,0,1930,188297.21359205944,575000
12080,26,26,57,7532,1009,37,0,2,2,7532,112850,2007,19447495.621317416,100
11041,26,26,43,7532,1009,37,0,2,2,7532,112850,2007,20414151.621317416,100
23400,35,13,16,0,1125,1033,1,0,1,0,0,0,1829020.4655369022,0
17352,33,10,16,0,1427,7,0,0,0,0,0,1929,-412021.8736931882,3250000
21460,35,10,11,0,1162,20,0,0,0,0,0,1975,-146993.4064081814,399000
3437,10,13,11,0,870,1149,1,0,1,0,0,1987,2029609.1926146396,812500
14696,26,45,71,0,1027,1248,0,0,1,0,0,0,860003.2296308731,15060
4585,12,13,11,0,631,1246,1,0,1,0,0,1895,2126226.912016746,0
15675,28,13,13,0,894,2081,1,0,1,0,0,2013,2272488.1620639167,1481553
15875,26,45,71,0,1027,1365,0,0,1,0,0,0,991719.0013807383,0
7033,18,24,82,0,729,8051,0,0,0,0,0,0,5077300.434354977,0
5626,13,12,14,0,1911,1112,1,0,1,0,0,1910,1748360.2307317466,654922
14392,32,9,9,0,1447,36,0,0,0,0,0,1910,202302.2689759424,345000
14825,33,13,11,0,1540,1052,1,0,1,0,0,0,2259068.2096986216,0
12886,26,45,79,0,1006,1302,0,0,1,0,0,1963,-802390.1209344282,33305
2857,8,13,16,0,76,1357,1,0,1,0,0,2003,1998436.7783069205,1080000
14800,32,10,10,0,1413,27,0,0,0,0,0,1928,61410.53336838819,1325000
13567,30,10,10,0,94,1,0,0,0,0,0,1971,106450.5543014505,720000
1933,6,13,18,0,441,1211,1,0,1,0,0,2007,1758637.7319641407,0
14447,33,10,8,0,1580,23,0,0,0,0,0,1958,137200.401782108,692000
11502,26,25,60,7532,1009,37,0,2,2,7532,112850,2007,19283655.621317416,58900
8778,25,10,16,0,1330,38,0,0,0,0,0,1970,-109625.14745626366,685000
9905,26,13,15,0,1011,7010,1,0,1,0,0,0,8955319.70233238,2492538
7326,19,13,13,0,968,1427,1,0,1,0,0,1984,1878198.2585277031,110000
20023,34,13,18,0,1505,1017,1,0,1,0,0,0,1701403.516288742,685000
785,2,13,11,0,797,1635,1,0,1,0,0,2006,2856867.668651124,0
22604,35,17,17,0,1158,1405,0,0,0,0,0,1965,642166.3857399276,68000
8156,22,12,15,0,1843,1017,1,0,1,0,0,1929,1236324.9813862382,359970
17415,29,22,8,5000,489,9,12,1,13,5000,32125,2014,8112134.621317415,0
12082,26,43,54,0,1028,1101,0,0,1,0,0,1909,830725.1595223448,213800000
2365,8,13,11,0,26,1178,1,0,1,0,0,1914,2195918.0740821534,1365000
82,1,9,15,0,396,20,0,0,0,0,0,1920,910009.9272811455,307000
4169,11,10,11,0,548,28,0,0,0,0,0,1952,758400.3777776803,800000
22616,35,17,17,0,1167,1002,0,0,0,0,0,1924,212768.1331966729,472000
5717,14,14,34,1615,1616,38,3,1,4,1615,2880,1910,-42505.37868258497,0
4780,12,10,10,0,620,19,0,0,0,0,0,1962,773517.533391322,1245000
16035,32,17,19,0,1445,1002,0,0,0,0,0,1960,156285.87233947357,727500
7758,21,13,13,0,309,1018,1,0,1,0,0,2004,1347063.8098808448,1800000
11392,26,45,102,0,1006,1302,0,0,1,0,0,1963,-2388562.0209929883,86696
1546,5,13,13,0,1060,1155,1,0,1,0,0,1931,2109128.0485333963,2540533
1558,5,9,15,0,1053,9,0,0,0,0,0,1920,738955.5967474203,651000
4702,12,10,10,0,591,26,0,0,0,0,0,1961,782599.4346817574,705000
21650,36,13,18,0,1151,1128,1,0,1,0,0,0,1761255.1354652694,3450000
21113,33,10,12,0,1522,41,0,0,0,0,0,1928,-99272.67494821362,712000
4834,12,7,4,1018,640,56,8,2,10,1018,5090,1900,3787306.621317415,0
1194,2,28,47,0,723,1101,0,1,1,0,0,2011,-1121700.9236526429,0
13523,26,45,71,0,1006,1302,0,0,1,0,0,0,921232.8443033337,0
1697,5,13,18,0,1067,1266,1,0,1,0,0,2008,1843154.280375238,1550000
11808,32,10,8,0,1384,1,0,0,0,0,0,1948,158732.82367983973,0
8304,25,10,10,0,1334,13,0,0,0,0,0,1926,302199.0555573553,750000
3609,10,10,12,0,877,9,0,0,0,0,0,1928,711761.1310345461,895000
8511,25,10,11,0,1330,4,0,0,0,0,0,1960,202888.4527019905,1960000
8438,24,13,16,0,1292,1233,1,0,1,0,0,1983,1265528.8503216566,0
1157,3,13,13,0,239,1054,1,0,1,0,0,0,3237832.6648615575,650000
4101,10,23,40,4115,880,82,0,12,12,4115,47490,1921,8408883.621317415,30000000
2921,8,21,37,3889,8,51,0,11,11,3889,0,1930,-1044297.378682585,44250000
106,1,13,15,0,394,1529,1,0,1,0,0,1910,2563635.6072240593,1272812
54,1,9,6,0,396,20,0,0,0,0,0,1920,1530685.8881736253,425000
7659,21,9,11,0,285,23,0,0,0,0,0,1910,472644.8353559836,0
6341,14,13,15,0,1661,1210,1,0,1,0,0,2008,1648424.668405049,587938
13064,26,45,71,0,1006,1302,0,0,1,0,0,0,921232.8443033337,0
24488,40,13,18,0,2164,1114,1,0,1,0,0,0,1579403.080943691,382500
16181,26,45,71,0,1027,1726,0,0,1,0,0,1925,248899.0748995538,13047
5356,13,1,27,1799,2041,66,1,0,1,1799,4016,1901,1061379.621317415,0
12428,26,45,102,0,1274,1388,0,0,1,0,0,0,-1125420.441068431,4395000
5787,15,2,72,1674,2076,25,2,0,2,1674,3480,1910,-2176659.378682585,2450000
12652,26,25,60,7532,1009,37,0,2,2,7532,112850,2007,19283655.621317416,0
5419,13,1,23,1488,2042,28,1,0,1,1488,3951,1899,1284609.621317415,1986787
22784,37,10,16,0,1234,7,0,0,0,0,0,1907,-539841.431279581,475000
5636,14,8,32,9127,1631,72,72,4,76,9127,0,2016,10594676.621317415,0
22657,35,17,17,0,1179,1308,0,0,0,0,0,1962,534319.4105098243,823000
7404,19,13,18,0,943,1804,1,0,1,0,0,0,3142764.8622639994,0
21771,36,13,18,0,1165,1723,1,0,1,0,0,0,2430799.939138031,1100000
16392,31,13,13,0,16,4015,1,0,1,0,0,0,5561068.167126581,445000
9180,25,10,16,0,1362,41,0,0,0,0,0,1962,-102138.82190871937,240000
19065,32,10,12,0,1443,1,0,0,0,0,0,1931,-108203.94375341665,645000
435,2,10,8,0,766,53,0,0,0,0,0,1900,1346133.73898612,775000
14247,26,45,79,0,1027,1260,0,0,1,0,0,0,321800.5743161752,0
11936,26,45,102,0,1006,1303,0,0,1,0,0,1963,-2387436.2451660666,88435
1122,2,17,21,0,769,1104,0,0,0,0,0,1980,1222660.528686373,410000
11758,32,10,8,0,1378,70,0,0,0,0,0,1927,249073.41859993152,4250000
14061,26,45,71,0,1027,1194,0,0,1,0,0,0,799211.334977089,0
17655,32,10,11,0,1438,1,0,0,0,0,0,1959,-55851.72904663114,800000
9471,25,13,13,0,1341,1318,1,0,1,0,0,1962,1543383.332614902,1109500
17921,35,10,10,0,1119,29,0,0,0,0,0,1929,-39539.14446339803,4075000
4065,11,17,17,0,561,1003,0,0,0,0,0,1955,1077876.7361107757,1800000
12011,26,25,60,7532,1009,37,0,2,2,7532,112850,2007,19283655.621317416,170810
22770,35,45,97,0,1138,1525,0,0,1,0,0,0,-949731.3455316364,0
16139,29,46,21,0,512,1002,0,0,1,0,0,1915,2738250.9644951737,16000000
5860,13,12,17,0,1944,1143,1,0,1,0,0,0,2715949.448658532,888000
743,2,13,18,0,767,1513,1,0,1,0,0,1929,2283369.362496004,7255031
15990,35,13,11,0,1140,1409,1,0,1,0,0,1965,1423714.4975769487,995000
12881,26,45,71,0,1006,1302,0,0,1,0,0,0,921232.8443033337,0
14613,33,13,11,0,1510,1040,1,0,1,0,0,1985,1061139.2140879533,1220000
7908,24,10,8,0,1361,12,0,0,0,0,0,1931,471697.5914077512,1592500
13424,26,45,71,0,1006,1302,0,0,1,0,0,0,921232.8443033337,18850
18923,35,13,15,0,1171,3643,1,0,1,0,0,0,4835300.554178845,1600000
16006,26,45,71,0,1027,1382,0,0,1,0,0,0,1010857.1904384107,1000
14479,26,45,97,0,1006,1303,0,0,1,0,0,1963,-2042616.2668924662,41724
18196,35,10,10,0,1179,19,0,0,0,0,0,1962,-71748.5313574071,880000
8512,25,10,11,0,1330,4,0,0,0,0,0,1960,202888.4527019905,2595000
21426,35,10,11,0,1145,49,0,0,0,0,0,1910,-75186.5626504221,749000
20887,33,17,17,0,1501,1005,0,0,0,0,0,1969,254806.83449750813,2448600
62,1,9,11,0,391,56,0,0,0,0,0,1900,1238438.0587212807,687000
11288,26,26,43,7532,1009,37,0,2,2,7532,112850,2007,20414151.621317416,81745
3649,10,10,12,0,880,19,0,0,0,0,0,1987,687733.3578725257,580000
26022,37,13,16,0,1880,1048,1,0,1,0,0,1925,608456.819580724,440000
17484,33,10,16,0,1440,5,0,0,0,0,0,1962,-434245.3948824033,612500
17996,37,10,8,0,1888,10,0,0,0,0,0,1930,-12114.990571265575,0
8520,24,13,16,0,1312,1188,1,0,1,0,0,1975,1219228.061901907,1975000
8162,25,10,10,0,1328,21,0,0,0,0,0,1977,280883.3250352093,640000
8884,25,10,12,0,1334,41,0,0,0,0,0,1929,194001.78740172926,250000
675,2,13,16,0,717,1144,1,0,1,0,0,1987,1972302.264191911,525000
17966,33,13,18,0,1404,1241,1,0,1,0,0,1986,806284.629620017,0
11793,26,26,43,7532,1009,37,0,2,2,7532,112850,2007,20414151.621317416,0
20607,35,10,16,0,1614,1,0,0,0,0,0,1959,-513072.5277000484,450000
22428,37,7,7,2013,1202,149,9,0,9,2013,5954,1900,3017696.621317415,0
2222,7,22,40,1942,830,44,0,3,3,1942,9000,1905,279501.62131741503,17350000
6110,13,13,13,0,1928,1566,1,0,1,0,0,2008,2217807.6599674127,875000
15382,26,45,71,0,1027,1317,0,0,1,0,0,0,937681.7616884862,200
17883,33,13,18,0,1383,1018,1,0,1,0,0,1913,599255.3402351034,15884700
953,2,13,16,0,798,1422,1,0,1,0,0,2006,2272236.5954327406,1250000
18243,32,13,13,0,1420,1028,1,0,1,0,0,1951,968119.9590416686,0
20884,33,10,12,0,1507,69,0,0,0,0,0,1923,-64453.29463820206,3150000
18724,35,13,13,0,1168,1325,0,0,0,0,0,0,2207890.6523592602,9673375
18573,39,10,8,0,2180,633,0,0,0,0,0,1951,598131.7504623835,634240
9648,25,13,16,0,1330,1004,1,0,1,0,0,2004,958153.0179118016,1350000
7412,21,10,10,0,315,1,0,0,0,0,0,1960,434608.0014414415,0
6077,13,47,13,0,1911,1321,0,0,0,0,0,0,1225483.6691974513,0
10798,26,13,16,0,1049,1108,1,0,1,0,0,1955,1074099.7113887486,13000000
6258,14,13,15,0,1616,1022,1,0,1,0,0,2013,1434731.7844123193,0
19798,36,10,10,0,1248,22,0,0,0,0,0,1927,-85158.53004418314,610000
25561,36,13,16,0,1253,1523,1,0,1,0,0,1931,1188931.509746728,210000
4540,11,13,16,0,531,1077,1,0,1,0,0,1912,1619330.30328369,1551000
21658,35,10,11,0,1186,84,0,0,0,0,0,1905,-33654.004935094155,945000
19951,34,10,16,0,1586,21,0,0,0,0,0,1952,-449550.2812210079,720000
15099,28,10,11,0,867,57,0,0,0,0,0,1916,189740.94600304775,400000
12687,26,27,113,2510,1037,44,0,2,2,2510,6290,1930,-6324035.378682585,3900000
23316,35,13,16,0,1115,1066,1,0,1,0,0,0,1866379.5059294575,4250000
16099,29,43,49,0,594,1012,0,0,1,0,0,0,2115337.993172107,8500000
11262,26,45,102,0,1006,1302,0,0,1,0,0,1963,-2388562.0209929883,0
17618,31,13,16,0,16,1493,1,0,1,0,0,2005,1317984.5446653222,0
16525,33,10,10,0,1508,38,0,0,0,0,0,1973,8704.802226244938,525000
6444,14,9,9,0,1622,53,0,0,0,0,0,1910,870186.6496939133,155000
2029,6,13,15,0,441,1267,1,0,1,0,0,2007,2028573.1652359287,908000
9362,25,10,16,0,1369,2,0,0,0,0,0,1959,-144398.98583156662,780000
15431,35,10,8,0,1123,29,0,0,0,0,0,1930,97708.4716043896,0
24648,36,9,11,0,1215,61,0,0,0,0,0,1900,-41651.97564072907,34419
5943,13,13,13,0,1600,1258,1,0,1,0,0,2013,1874920.4750909782,885877
16781,28,10,12,0,918,25,0,0,0,0,0,1942,68167.08955575479,450000
12095,26,43,54,0,1262,1617,0,0,1,0,0,1925,1397196.0345773785,441764
26312,39,7,7,3550,2170,555,16,0,16,3550,9728,1927,5211999.621317415,9000000
14947,27,10,11,0,1978,1,0,0,0,0,0,1956,115904.12957542669,640000
17806,33,13,18,0,1373,1671,1,0,1,0,0,2007,1278477.3933192533,750000
2241,7,43,54,0,806,1104,0,0,1,0,0,2014,1464682.774646469,45274491
23355,37,17,22,0,1223,1002,0,0,0,0,0,1940,-215259.30495813163,402550
24094,37,10,11,0,1890,1,0,0,0,0,0,1923,-225001.64759854926,1375000
20327,36,29,103,4920,1227,43,0,1,1,4920,28186,1940,-1665713.378682585,0
1291,3,47,52,0,172,1485,0,0,1,0,0,2007,1986867.9565529046,0
20187,36,13,15,0,1237,1253,1,0,1,0,0,1985,922031.5330991377,0
6723,17,10,10,0,2238,1,0,0,0,0,0,1952,544277.7670130581,275000
8018,21,28,25,0,294,1111,0,0,1,0,0,2011,3753941.3708356433,487500
10205,26,13,15,0,1047,2355,1,0,1,0,0,1978,2533216.8508359366,1075000
8344,25,10,10,0,1334,41,0,0,0,0,0,1929,331929.778711169,321000
1393,4,21,36,4764,173,2,0,5,5,4764,20700,1920,3139350.621317415,3150000
2102,7,10,10,0,804,49,0,0,0,0,0,1912,1014526.0633281246,0
5342,12,23,39,5313,609,31,7,2,9,5313,19225,1910,3197336.621317415,18500000
2981,9,13,9,0,851,2131,0,0,0,0,0,0,4340076.123853057,5866932
2638,8,13,13,0,53,1415,1,0,1,0,0,2007,2268715.170872055,0
6855,21,13,11,0,420,1019,1,0,1,0,0,2005,1483206.9140613456,0
1831,5,32,66,10042,1067,44,0,1,1,10042,172000,1971,31425915.621317416,55000000
4749,11,44,50,0,529,1803,0,0,1,0,0,2005,2341867.9357075044,0
11163,26,25,60,7532,1009,37,0,2,2,7532,112850,2007,19283655.621317416,58900
15011,33,13,11,0,1552,1405,1,0,1,0,0,2002,1461022.9508771035,2344725
10194,26,13,15,0,1047,2157,1,0,1,0,0,1978,2310313.237105395,1507010
13807,33,10,8,0,1500,20,0,0,0,0,0,1930,152206.57913439535,62868
4739,12,10,10,0,608,60,0,0,0,0,0,1900,856938.4680200792,500000
11821,26,45,102,0,1006,1302,0,0,1,0,0,1963,-2388562.0209929883,21200
20371,32,17,21,0,1473,1504,0,0,0,0,0,1910,612763.719453272,0
20323,36,22,20,10325,1227,54,0,18,18,10325,47292,1899,9018065.621317415,0
11519,26,25,57,7532,1009,37,0,2,2,7532,112850,2007,19496647.621317416,49500
1220,2,29,53,11850,802,61,0,0,0,11850,0,0,-1709365.378682585,35000000
1084,3,13,9,0,292,1138,0,0,0,0,0,0,3451297.037234743,591603
8622,25,10,10,0,1363,43,0,0,0,0,0,1931,332382.8598630307,3250000
8762,25,10,10,0,1368,36,0,0,0,0,0,1926,327383.2100225119,2200000
1048,2,21,33,7406,697,5,0,5,5,7406,40926,1926,7537016.621317415,27000000
3655,10,13,15,0,903,1305,1,0,1,0,0,2014,1912567.3932519457,952063
8071,25,1,26,2008,1369,129,1,0,1,2008,3600,1899,688159.621317415,0
9448,25,13,13,0,1341,1006,1,0,1,0,0,1962,1192141.2746152612,683000
3099,9,13,13,0,855,1035,1,0,1,0,0,1961,1815421.51744133,565000
5387,12,46,21,0,618,1433,0,0,1,0,0,2008,3781879.6572282966,0
686,2,13,15,0,695,1809,1,0,1,0,0,2007,2778425.7485788027,6500000
6574,20,13,11,0,508,1164,1,0,1,0,0,0,2877839.2568976996,3750000
7506,24,10,8,0,1330,38,0,0,0,0,0,1970,478330.9210305293,580000
13971,26,45,71,0,1027,1188,0,0,1,0,0,0,792456.680015557,0
13860,26,45,79,0,1027,1187,0,0,1,0,0,0,239618.93895087438,0
3016,9,10,12,0,816,31,0,0,0,0,0,1964,752551.7749110651,700000
7934,22,10,11,0,1842,13,0,0,0,0,0,1920,334960.7139598476,520000
23009,37,13,18,0,1202,1034,1,0,1,0,0,0,1618125.0701545035,3200000
9770,25,45,97,0,1319,1457,0,0,1,0,0,2002,-1862809.7989567756,0
16783,28,10,12,0,918,25,0,0,0,0,0,1942,68167.08955575479,250000
18719,32,10,12,0,1408,1,0,0,0,0,0,1940,-112847.41038895585,1810000
17051,33,10,16,0,1395,50,0,0,0,0,0,1960,-381453.5112023242,475000
7103,19,10,11,0,928,1,0,0,0,0,0,1965,422369.9565015179,0
18006,37,10,8,0,1888,59,0,0,0,0,0,1920,49018.02494790871,1436000
22035,33,13,16,0,1537,2341,1,0,1,0,0,0,3365435.8037586254,1168000
8684,25,10,11,0,1334,41,0,0,0,0,0,1929,262965.78305644915,520000
6517,19,17,17,0,945,1003,0,0,0,0,0,0,1947054.8869198528,720000
5308,12,13,16,0,642,1117,1,0,1,0,0,0,2767267.570155673,0
17749,32,10,11,0,1445,7,0,0,0,0,0,1960,-49839.98075799178,750000
9393,25,10,12,0,1369,19,0,0,0,0,0,1928,169102.18584498623,2900000
17422,33,13,15,0,1539,1474,1,0,1,0,0,1986,1272668.4698512075,3180578
845,2,15,15,0,720,1204,1,0,1,0,0,1910,2051202.3839015388,2556000
2973,8,46,25,0,28,1001,0,0,1,0,0,1987,3189499.778519046,1500000
16075,29,28,49,0,477,1003,0,0,1,0,0,1925,1734796.4425169188,0
6365,14,13,15,0,1681,1117,1,0,1,0,0,2007,1543907.6402930473,801000
3074,9,21,36,4550,823,9,2,6,8,4550,24174,1910,4028888.621317415,0
12596,28,7,31,1975,911,56,4,0,4,1975,2445,1900,84110.62131741503,0
7383,19,17,17,0,945,1003,0,0,0,0,0,0,1947054.8869198528,0
3693,10,10,12,0,883,58,0,0,0,0,0,1931,765008.0836912412,820000
20135,34,13,18,0,1518,1028,1,0,1,0,0,1962,542202.080849512,670000
18209,33,13,18,0,1433,1142,1,0,1,0,0,2011,679303.3522527642,7122658
7241,19,13,13,0,943,1185,1,0,1,0,0,0,2790729.603672926,1200000
5881,15,10,8,0,2075,26,0,0,0,0,0,1920,805339.9015909592,0
1822,6,9,6,0,444,33,0,0,0,0,0,1900,1375039.9547786112,500000
19099,32,29,45,8262,1484,16,0,1,1,8262,14718,1986,-387971.37868258497,0
16565,31,13,18,0,217,1281,1,0,1,0,0,1906,996305.472155388,3700000
10637,26,13,13,0,1048,1865,1,0,1,0,0,1987,2114120.8431432196,0
14166,26,45,97,0,1006,1303,0,0,1,0,0,1963,-2042616.2668924662,45000
3137,10,9,6,0,872,53,0,0,0,0,0,1930,1225747.9074640814,0
6596,21,7,2,2115,273,20,20,4,24,2115,11321,1901,6785145.621317415,9200000
7679,22,13,15,0,1833,2109,1,0,1,0,0,1961,2395018.175424529,0
24375,35,43,49,0,1154,1002,0,0,1,0,0,1912,733479.0815773136,0
5409,13,3,3,1665,1941,150,3,0,3,1665,3332,1910,2872370.621317415,1450000
7910,21,13,16,0,283,1220,1,0,1,0,0,2008,1365732.479025656,560037
15176,28,10,11,0,890,49,0,0,0,0,0,1957,155778.33174816938,605000
8274,22,13,18,0,1848,1339,1,0,1,0,0,2007,1293504.1445742878,1075000
20370,33,13,13,0,1517,1041,1,0,1,0,0,1929,957623.0919325431,0
24495,38,10,11,0,2134,195,0,0,0,0,0,1920,-46140.130165541545,0
2856,8,13,18,0,78,1740,1,0,1,0,0,1908,2348354.241087752,0
16696,31,13,13,0,212,1025,1,0,1,0,0,1894,1060195.0577890412,1825000
8736,25,10,16,0,1328,21,0,0,0,0,0,1977,-132900.64889311045,1180000
3021,8,47,52,0,53,1111,0,0,1,0,0,1903,1449175.6944781034,0
9116,25,13,11,0,1011,2040,1,0,1,0,0,1930,2520103.9283983177,0
5681,13,8,12,6405,1825,63,31,8,39,6405,37657,1921,13603513.621317415,12450000
11736,26,26,43,7532,1009,37,0,2,2,7532,112850,2007,20414151.621317416,0
4921,13,9,6,0,1718,25,0,0,0,0,0,1909,1080397.010953629,699000
9296,25,10,12,0,1366,25,0,0,0,0,0,1955,159800.37223775685,27000
7167,19,13,15,0,969,1385,1,0,1,0,0,1988,1690578.8386771302,0
21869,33,13,16,0,1515,1599,1,0,1,0,0,0,2530568.7040116447,0
12320,32,10,8,0,1438,1,0,0,0,0,0,1959,151040.25791752897,435000
431,2,10,8,0,766,9,0,0,0,0,0,1930,1278689.6026015547,495846
10077,26,13,13,0,1005,1027,1,0,1,0,0,1987,1171616.984030411,1639382
9759,25,13,16,0,1342,1009,1,0,1,0,0,1982,976665.7713214536,1205000
1800,6,7,30,2425,447,42,24,0,24,2425,7000,1900,5000332.621317415,6354000
797,2,13,11,0,797,1823,1,0,1,0,0,2012,3064931.5241124467,1515000
883,2,15,15,0,720,1305,1,0,1,0,0,1900,2170875.7424206533,610950
7124,19,10,11,0,930,1,0,0,0,0,0,1964,422925.26888069184,480000
12063,26,26,57,7532,1009,37,0,2,2,7532,112850,2007,19447495.621317416,114855
14238,33,10,8,0,1544,19,0,0,0,0,0,1963,130462.67564929463,0
10264,26,13,18,0,1010,1433,1,0,1,0,0,1926,1320174.7724350472,929000
13912,33,10,8,0,1509,1,0,0,0,0,0,1908,143763.24412916088,5850000
18875,32,10,12,0,1425,29,0,0,0,0,0,1929,-75113.03201216599,385000
3595,10,13,13,0,882,1110,0,0,0,0,0,0,2877912.7605750477,2116949
25293,36,13,16,0,1223,1417,1,0,1,0,0,1973,1045150.5864053979,0
9984,26,13,15,0,1040,1078,1,0,1,0,0,1989,1089180.0265295287,557750
10325,26,13,16,0,1009,1142,1,0,1,0,0,0,2280344.8419206203,3550000
